num_events,num_failed_logins,num_commands,num_unique_commands,num_downloads,num_uploads,session_duration,label
5,1,0,0,0,0,1.652506,0
2,0,0,0,0,0,13.138044,0
4,0,0,0,0,0,1.978661,0
4,0,0,0,0,0,0.316845,0
2,0,0,0,0,0,30.965586000000002,0
4,0,0,0,0,0,0.200735,0
4,0,0,0,0,0,0.211518,0
4,0,0,0,0,0,0.11299,0
5,1,0,0,0,0,1.6431909999999998,0
5,1,0,0,0,0,1.292453,0
2,0,0,0,0,0,0.001029,0
2,0,0,0,0,0,30.747859,0
2,0,0,0,0,0,0.454374,0
5,1,0,0,0,0,1.552373,0
2,0,0,0,0,0,3.066064,0
2,0,0,0,0,0,10.046433,0
5,0,0,0,0,0,1.025405,0
2,0,0,0,0,0,30.568517,0
5,1,0,0,0,0,1.309547,0
2,0,0,0,0,0,0.033062,0
5,1,0,0,0,0,1.653605,0
2,0,0,0,0,0,14.295277,0
2,0,0,0,0,0,3.879017,0
2,0,0,0,0,0,10.068455,0
2,0,0,0,0,0,3.011047,0
2,0,0,0,0,0,10.097507,0
2,0,0,0,0,0,3.001301,0
2,0,0,0,0,0,10.004143,0
5,1,0,0,0,0,1.225873,0
2,0,0,0,0,0,0.001729,0
5,1,0,0,0,0,1.951534,0
2,0,0,0,0,0,30.804611,0
5,1,0,0,0,0,1.268131,0
5,1,0,0,0,0,1.244528,0
2,0,0,0,0,0,30.676008,0
5,1,0,0,0,0,1.277611,0
5,1,0,0,0,0,1.20252,0
3,0,0,0,0,0,120.002801,0
2,0,0,0,0,0,1.2938450000000001,0
2,0,0,0,0,0,31.987591,0
2,0,0,0,0,0,15.655924,0
4,0,0,0,0,0,0.069908,0
4,0,0,0,0,0,0.072564,0
4,0,0,0,0,0,0.06991,0
3,0,0,0,0,0,0.001234,0
5,1,0,0,0,0,1.231267,0
2,0,0,0,0,0,30.521723,0
2,0,0,0,0,0,12.517692,0
2,0,0,0,0,0,12.901437,0
2,0,0,0,0,0,15.362328,0
2,0,0,0,0,0,3.09809,0
2,0,0,0,0,0,10.078527,0
5,1,0,0,0,0,1.165789,0
5,1,0,0,0,0,1.1945109999999999,0
5,1,0,0,0,0,1.174756,0
5,1,0,0,0,0,1.197473,0
5,1,0,0,0,0,1.165336,0
5,1,0,0,0,0,1.2399689999999999,0
5,1,0,0,0,0,1.165124,0
5,1,0,0,0,0,1.186864,0
5,1,0,0,0,0,1.202262,0
5,1,0,0,0,0,1.196206,0
5,1,0,0,0,0,1.173919,0
5,1,0,0,0,0,1.1676549999999999,0
5,1,0,0,0,0,1.169502,0
5,1,0,0,0,0,1.237706,0
5,1,0,0,0,0,1.167058,0
2,0,0,0,0,0,30.467104,0
5,1,0,0,0,0,1.183643,0
5,1,0,0,0,0,1.166066,0
5,1,0,0,0,0,1.16663,0
5,1,0,0,0,0,1.168227,0
5,1,0,0,0,0,1.166458,0
5,1,0,0,0,0,1.165679,0
5,1,0,0,0,0,1.168672,0
5,1,0,0,0,0,1.19189,0
5,1,0,0,0,0,1.173064,0
2,0,0,0,0,0,12.736826,0
5,1,0,0,0,0,1.198061,0
2,0,0,0,0,0,12.897593,0
2,0,0,0,0,0,12.870304,0
5,1,0,0,0,0,1.184191,0
2,0,0,0,0,0,12.861491000000001,0
2,0,0,0,0,0,12.871105,0
5,1,0,0,0,0,1.19749,0
2,0,0,0,0,0,12.838069,0
2,0,0,0,0,0,12.891187,0
5,1,0,0,0,0,1.234417,0
2,0,0,0,0,0,12.827554,0
2,0,0,0,0,0,12.518769,0
2,0,0,0,0,0,12.861205,0
5,1,0,0,0,0,1.194808,0
2,0,0,0,0,0,12.891966,0
2,0,0,0,0,0,12.834142,0
5,1,0,0,0,0,1.168569,0
2,0,0,0,0,0,12.858113,0
2,0,0,0,0,0,12.864621,0
5,1,0,0,0,0,1.166975,0
2,0,0,0,0,0,12.866637,0
2,0,0,0,0,0,12.852513,0
5,1,0,0,0,0,1.165305,0
2,0,0,0,0,0,12.856995,0
2,0,0,0,0,0,12.853224,0
5,1,0,0,0,0,1.1670530000000001,0
2,0,0,0,0,0,12.889627,0
2,0,0,0,0,0,12.828679,0
5,1,0,0,0,0,1.165463,0
2,0,0,0,0,0,12.867729,0
5,1,0,0,0,0,1.167931,0
2,0,0,0,0,0,14.026992,0
2,0,0,0,0,0,12.914201,0
2,0,0,0,0,0,12.793408,0
5,1,0,0,0,0,1.175779,0
2,0,0,0,0,0,12.86304,0
5,1,0,0,0,0,1.234844,0
2,0,0,0,0,0,12.869917000000001,0
5,1,0,0,0,0,1.196534,0
2,0,0,0,0,0,12.847929,0
5,1,0,0,0,0,1.166483,0
5,1,0,0,0,0,1.1696469999999999,0
5,1,0,0,0,0,1.21717,0
5,1,0,0,0,0,1.165356,0
5,1,0,0,0,0,1.195686,0
5,1,0,0,0,0,1.166342,0
5,1,0,0,0,0,1.165881,0
5,1,0,0,0,0,1.196035,0
5,1,0,0,0,0,1.199576,0
5,1,0,0,0,0,1.204277,0
5,1,0,0,0,0,1.207312,0
5,1,0,0,0,0,1.166629,0
5,1,0,0,0,0,1.193022,0
5,1,0,0,0,0,1.164793,0
5,1,0,0,0,0,1.166541,0
5,1,0,0,0,0,1.167221,0
5,1,0,0,0,0,1.177665,0
5,1,0,0,0,0,1.175061,0
5,1,0,0,0,0,1.184183,0
5,1,0,0,0,0,1.168505,0
5,1,0,0,0,0,1.16382,0
5,1,0,0,0,0,1.17608,0
5,1,0,0,0,0,1.166403,0
5,1,0,0,0,0,1.1647210000000001,0
5,1,0,0,0,0,1.196398,0
5,1,0,0,0,0,1.168931,0
5,1,0,0,0,0,1.168783,0
5,1,0,0,0,0,1.16536,0
5,1,0,0,0,0,1.167246,0
5,1,0,0,0,0,1.220668,0
5,1,0,0,0,0,1.191208,0
5,1,0,0,0,0,1.1664970000000001,0
5,1,0,0,0,0,1.190202,0
5,1,0,0,0,0,1.168313,0
5,1,0,0,0,0,1.167877,0
5,1,0,0,0,0,1.16646,0
5,1,0,0,0,0,1.166554,0
5,1,0,0,0,0,1.196595,0
5,1,0,0,0,0,1.208699,0
5,1,0,0,0,0,1.164206,0
5,1,0,0,0,0,1.165541,0
5,1,0,0,0,0,1.194304,0
5,1,0,0,0,0,1.167052,0
5,1,0,0,0,0,1.166833,0
5,1,0,0,0,0,1.167313,0
5,1,0,0,0,0,1.169768,0
5,1,0,0,0,0,1.167503,0
5,1,0,0,0,0,1.16828,0
5,1,0,0,0,0,1.168668,0
5,1,0,0,0,0,1.197098,0
5,1,0,0,0,0,1.166313,0
5,1,0,0,0,0,1.196151,0
2,0,0,0,0,0,13.004124,0
5,1,0,0,0,0,1.167379,0
5,1,0,0,0,0,1.194906,0
2,0,0,0,0,0,0.465901,0
5,1,0,0,0,0,1.168544,0
5,1,0,0,0,0,1.213973,0
5,1,0,0,0,0,1.168852,0
